romaji,kanji,meaning
ainiku,あいにく,unfortunately sorry but
akiru,飽きる,to get tired of lose interest in have enough
you,酔う,to get drunk intoxicated elated
koi,濃い,deep color dark strong thick
ronjiru,論じる,to discuss talk about deal with argue
sasaeru,支える,to support prop sustain hold up defend
nozoku,除く,to remove eliminate eradicate exclude
michiru,満ちる,to fill become full of rise
itsumademo,いつまでも,forever fod good eternally idfeinitely no matter what
majime,真面目,serious honest sover grave earnest
jikani,直に,directly in person firsthand
tekisuru,適する,to fit suit
kage,陰,shade shadow behind background
moshimo,もしも,if in case supposing
furu,振る,to wave shake swing throw
toorisugiru,通り過ぎる,to go past pass by
totan,途端,just now in the act of as soon as
mane,真似,imitating copying mimicry behavior
osanai,幼い,very young little childish immature
yosu,止す,to cease desist cut it out
fusegu,防ぐ,to defend protect against prevent avert
sei,性,sex gender
gyougi,行儀,manners behavior
futo,不図,suddenly casually accidentally unintentionally
monooto,物音,sounds
oyoso,凡そ,about roughly approximately generally
youjin,用心,care precaution guarding caution
necchuu,熱中,being enthusiastic about
hitoshii,等しい,equal identical the same equivalent
nagame,眺め,scene view prospect outlook
sakarau,逆らう,to go against oppose defy
kinodoku,気の毒,pitiful unforunate poor miserable
toriageru,取り上げる,to pick up adopt accept
kotowaza,諺,proverb saying aphorism maxim
hanasu,放す,to release let go set free
habuku,省く,to omit leave out exclude eliminate
joutatsu,上達,improvement advance progress
moushikomu,申し込む,to apply for propose make an application
shimeru,占める,to occupy hold account for
masu,増す,to increase grow
ichidoni,一度に,all at once
sunawachi,すなわち,that is namely
kawairashii,可愛らしい,lovely sweet
tsumeru,詰める,to stuff into jam cram pack fill plug
hitorihitori,一人一人,each individually one by one at a time
wagamama,わがまま,selfish egoist self indulgent
sonouchi,そのうち,before long soon someday sooner or later among them
satsu,札(satsu),banknote bill note paper money
choudai,頂戴,humble receiving reception getting eating having please
shinken,真剣,serious earnest real sword
shikirini,しきりに,frequently repeatedly often eagerly extremely hard
ureru,売れる,to sell well be known popular famous
sasu,指す,to point nominate identify
youten,要点,gist main point
kuu,食う,to eat live bite
tondemonai,とんでも無い,unthinkable absurd outrageous absolute not no way
itaru,至る,to arrive at reach
masaka,真逆,never certainly not by no means
hassha,発車,departure starting leaving
saichuu,最中,in the middle of midst height
inemuri,居眠り,nodding off dozing
teiryuujo,停留所,stop station
hankou,反抗,opposition resistance defiance rebellion
yobun,余分,extra excess surplus
susumeru,進める,to advance move forward
joutou,上等,superior first class excellent top quality bring it on
hanasu,離す,to separate part divide keep apart
imanimo,今にも,at any moment minute just about to
kosu,越す,to cross over go across
tsutsumi,包み,package parcel bundle
tejina,手品,magic trick conjuring sleight of hand
taira,平ら,flat level even smooth calm tranquil relaxed
aware,哀れ,pity sorrow grief misery
tsumoru,積もる,to pile up accumulate
sameru,覚める,to wake up sober up regain consciousness
ritsu,率,rate ratio proportion percentage
oyobosu,及ぼす,to exert influence to exercise to do
men,綿(men),cotton
yaya,稍,a little partially somewhat slightly ish
kyuu,旧,old former ex
seki,咳,cough coughing
kire,切れ,piece slice strip scrap
kiyou,器用,skillful adroit dexterious deft nimble clever
setsu,説,theory doctrine opinion view
orai,粗い,coarse rough
unaru,唸る,to groan moan hum howl roar
fushi,節,joint knuckle tune melody part
samasu,覚ます,to awake arouse from sleep sober up bring to senses
kansuru,関する,to concern be related
hara,原,field plain prairie wilderness
chigainai,違いない,for sure no mistaking it for certain without doubt
douka,銅貨,copper coin
itadakimasu,頂きます,thank you for the meal
shimatta,しまった,darn it dang oops oh no damn
yahari,やはり,as expected sure enough in any case
chuu,中(chuu),middle medium average
korera,これら,these
umai,上手い,skillful clever successful delicious tasty
kyuuni,急に,swiftly rapidly quickly immediately suddenly
hitogomi,人ごみ,crowd of people
mochiageru,持ち上げる,to elevate raise lift up flatter
ohiru,お昼,lunch noon midday
shou,小,smallness small item
otokonohito,男の人,man
datte,だって,after all because but
nitotte,に取って,to for from the standpoint of concerning
bi-ru,ビール,beer
menba-,メンバー,member participant
dorama,ドラマ,tv drama play
o-ba-,オーバー,exceeding going over beyond exaggerated
kara,空(kara),emptiness vacuum blank
go,語,word language speech
ichiba,市場,town market marketplace
atai,値,price cost value worth merit
zen,善,good goodness right virtue
miyako,都(miyako),capital seat of government
hi,灯,light lamp
kan,管,pipe tube
chi-mu,チーム,team
doresu,ドレス,dress
ichi,市(ichi),market fair
suki-,スキー,skiing ski skis
bo-ru,ボール,ball bowl board
ge-mu,ゲーム,game
pikunikku,ピクニック,picnic outing
wain,ワイン,wine
su-pu,スープ,soup
bo-to,ボート,boat
kurisumasu,クリスマス,christmas
guru-pu,グループ,group
enjin,エンジン,engine
maa,まあ,just well i think come now
enerugi-,エネルギー,energy
dansu,ダンス,dance
sa-bisu,サービス,service help discount
sofa,ソファ,sofa couch
benchi,ベンチ,bench
tabi,度(tabi),time times degree
baiorin,バイオリン,violin
de-to,デート,date
chansu,チャンス,chance opportunity
toranpu,トランプ,playing card cards
yu-moa,ユーモア,humor
chi-zu,チーズ,cheese
pasupo-to,パスポート,passport
inku,インク,ink
suke-to,スケート,skating skate skates
doraibu,ドライブ,drive driving
nokku,ノック,knock knocking
pa-sento,パーセント,percent percentage
kyanpu,キャンプ,camp camping
tonneru,トンネル,tunnel
haikingu,ハイキング,hiking
yotto,ヨット,yacht
pairotto,パイロット,pilot
sutairu,スタイル,style figure build
arubamu,アルバム,album
raketto,ラケット,racket paddle
taipuraita-,タイプライター,typewriter
taoru,タオル,towel
uisuki-,ウイスキー,whiskey
aisukuri-mu,アイスクリーム,ice cream icecream
roketto,ロケット,rocket locket
tento,テント,tent
paipu,パイプ,pipe
bure-ki,ブレーキ,brake
jettoki,ジェット機,jet airplane
ko-chi,コーチ,coach
shimo,霜,frost white gray hair
beruto,ベルト,belt strap
ke-su,ケース,case
ju-su,ジュース,juice soft drink
airon,アイロン,iron
purasu,プラス,plus addition
sutando,スタンド,stands bleachers stand counter
ofisu,オフィス,office
kyaputen,キャプテン,captain
ji-nzu,ジーンズ,jeans denim
masuta-,マスター,master
pasu,パス,pass passing
ka-,カー,car
gurando,グランド,grand large
nicchuu,日中,daytime during the day
go-ru,ゴール,goal basket
setto,セット,set
senta-,センター,center
ma-ketto,マーケット,market
oru,居る,to be exist ing
go,後(go),after
nandemo,何でも,any anything whatever everything all
na,名,name title
yaku,訳,translation version
nantoka,何とか,something somehow anyhow
itsuka,いつか,sometime someday one day
iki,行き,the way there outbound leg trip
ryuukou,流行,fashion trend craze fad popularity
furusato,故郷,hometown birthplace
waruguchi,悪口,slander bad mouthing insult
otagai,お互い,each other one another
omoni,主に,mainly primary
sei,背(sei),height stature
isshu,一種,a kind sort variety species
zei,税,tax
sue,末,end tip top
hashi,端(hashi),end tip point start
douitsu,同一,identical same equal fair
shou,章,chapter section
fuchi,縁(fuchi),rim brim edge brink
tsuchi,土,earth soil dirt clay mud
wata,綿(wata),cotton plant
mu,無,nothing naught nil zero un
jinkou,人工,artificial man made human work
gara,柄(gara),pattern design build figure physique
mitsu,密,dense thick crowded close intimate secret
haa,はあ,yes indeed ha what huh sigh
hori,堀,moat canal ditch
youbi,曜日,day of the week
matsu,松,pine tree
jou,上(jou),from the standpoint of aboard on top of
nochi,のち,later afterwards future after ones death
kin,金(kin),gold money
kamoshirenai,かも知れない,may be might perhaps possibly
zutto,ずっと,continuously the whole time all along always
donna,どんな,what kind sort of
donnani,どんなに,how much to what extent
dokoka,どこか,somewhere in some respects way
butsu,ぶつ,to hit strike beat deliver a speech
sokode,そこで,so accordingly now then therefore
arigatou,ありがとう,thank you thanks
mettani,滅多に,rarely seldom
miruku,ミルク,milk
konnani,こんなに,so like this in this way
soresore,夫れ夫れ,each respectively
soretomo,それとも,or or else
gakkari,がっかり,to be disappointed dejected downhearted be exhausted
tsuno,角(tsuno),horn antler
achikochi,あちこち,here and there various places muddled confused
kichinto,きちんと,properly accurately exactly neatly tidily
supi-chi,スピーチ,speech
nosei,のせい,consequence outcome result blame fault
baggu,バッグ,bag
desukara,ですから,so therefore accordingly that is why
soredemo,それでも,but still and yet nevertheless even so
hitai,額(hitai),forehead brow
penki,ペンキ,paint
chanto,ちゃんと,diligently seriously properly exactly perfectly
tatta,たった,only merely but no more than
kitsui,きつい,tough hard severe demanding forceful strong
gussuri,ぐっすり,soundly sleeping fast asleep
pittari,ぴったり,tightly closely exactly precisely
nazenara,なぜなら,because the reason is if you want to know why
gomi,塵,garbage trash
sappari,さっぱり,feeling refreshed relieved neat clean
shikamo,然も,moreover futhermore nevertheless and yet
tokorode,所で,by the way even if no matter who what why
tsugu,つぐ,to pour into fill dish out
omedetou,おめでとう,congratulations well done best wishes
sate,さて,well now then
tsui,対,pair couple set
hansamu,ハンサム,handsome
memo,メモ,note memo
izure,いずれ,where which who anyway anyhow at any rate
zatto,ざっと,roughly approximately more or less briefly
suicchi,スイッチ,switch
tappuri,たっぷり,full in plenty ample
daiya,ダイヤ,diamond diagram
bonyari,ぼんやり,dimly faintly indistinctly vaguely
konnichiha,こんにちは,hello good day afternoon
puran,プラン,plan scheme
puro,プロ,professional pro
nonbiri,のんびり,at leisure in a relaxed manner quietly peacefully
demo,デモ,demo demonstration protest
bideo,ビデオ,video
toppu,トップ,top
hasami,鋏,scissors shears clippers
ho-mu,ホーム,home platform
kuri-mu,クリーム,cream
suta-,スター,star
houbou,方々(houbou),here and there all over
pin,ピン,pin
bo-i,ボーイ,boy
kurashikku,クラシック,classical music classic classics
ton,屯,ton
maiku,マイク,mike mic microphone
tokoroga,所が,even so however still nevertheless
suku,空く,to become less crowded
ko-do,コード,code
ta,田,rice field
sokkuri,そっくり,all altogether entirely completely just like
irasshai,いらっしゃい,come go stay welcome
nikkori,にっこり,sweetly smiling broadly grinning
dakedo,だけど,however
daga,だが,but however yet still nevertheless
no-,ノー,no
ta,他(ta),other
jojo,徐々,slow gradual calm composed
moushiwake,申し訳,apology excuse
kun,訓,lesson ones teaching
sei,正,true regular original
gutai,具体,concrete tangible material
kure,暮れ,sunset sundown nightfall dusk end
go,御,honorific polite humble prefix
idaku,抱く(idaku),hold in ones arms hug embrace
tsurai,辛い(tsurai),painful bitter difficult tough hard cruel
mottomo,もっとも,but then though just reasonable
hin,品(hin),elegance grace class article item counter
haku,吐く,to throw up breathe out
aruiha,あるいは,or either maybe perhaps possibly
ugai,うがい,gargling rinsing ones mouth
e,柄(e),handle grip
taisuru,対する,to face be facing direct toward
bikkuri,びっくり,to be surprised frightened startled to jump
annani,あんなに,to that extent to that degree so much
kyoku,極,pole climax
gomennasai,ごめんなさい,im sorry my apologies excuse me
ken,軒(ken),counter for buildings
battari,ばったり,with a clash thud bang
en,縁(en),fate destiny relationship
kechi,ケチ,stingy stinginess miser cheapstake shabby cheap
raita-,ライター,lighter
ban,バン,bun hairstyle
sotto,率土,face of the earth
kyuu,球,sphere counter for balls
fu,不,un non negative prefix
nashi,無し,without unacceptable not alright
torakku,トラック,truck
ka-do,カード,card
sain,サイン,autograph signature sign
gurasu,グラス,glass
mama,ママ,mom mama mommy mother
bakushu,ばくしゅ,beer
toridori,とりどり,various
suimen,水面,water surface
kakeru,翔る,to soar fly run dash
gishiki,儀式,ceremony rite ritual service
shokunin,職人,craftsman artisan tradesman worker
oodoori,大通り,main street
mokuzai,木材,lumber timber wood
unga,運河,canal waterway
yuuenchi,遊園地,amusement park
jaguchi,蛇口,faucet tap
tennou,天皇,emperor of japan
yougan,溶岩,lava
genshi,原子,atom
rajiumu,ラジウム,radium
re-za-,レーザー,laser
fuwafuwa,ふわふわ,lightly floating drifting soft
omotenashi,お持て成し,hospitality reception treatment rereshment service
kurukuru,くるくる,whirling spinning revolving going round and round
kaki,かき,oyster oysters
kuma,熊,bear
shisutemu,システム,system
supi-ka-,スピーカー,speaker
suwaipu,スワイプ,swipe on a surface
bushi,武士,warrior samurai
myouji,苗字,surname last name
shiryou,資料,materials data document
kuchibiru,唇,lips lip
bouenkyou,望遠鏡,telescope
mure,群れ,group crowd flock herd pack
shoten,書店,bookstore book shop
ekitai,液体,liquid
kashitsu,過失,accident error blunder fault
ido,井戸,water well
kakine,垣根,hedge fence border limit
engeki,演劇,drama theater play
entotsu,煙突,chimney smokestack funnel stovepipe
tsuukin,通勤,commuting to work
hiroba,広場,public square plaza open space
kajitsu,果実,fruit nut verry fruits profit
tsuuyaku,通訳,interpretation interpreter
mujun,矛盾,contradiction inconsistency
senden,宣伝,publicity advertisement advertising promotion
mappu,マップ,map
foto,フォト,photo
isekai,異世界,another world different dimension
okiniiri,お気に入り,favorite liked
tekisuto,テキスト,text
messe-ji,メッセージ,message
tattaima,たった今,just a moment ago
shuuryou,終了,end close termination
soushin,送信,transmission sending
raiburari-,ライブラリー,library
maemuki,前向き,front facing positive
saikai,再開,reopening restarting
kintore,筋トレ,weight training
shiyakusho,市役所,city hall
kuyakusho,区役所,district ward hall
so-su,ソース,sauce source
zurui,ずるい,sly cunning sneaky unfair
chuusei,中世,middle ages medieval times
kannen,観念,idea notion concept sense
kiso,基礎,foundation basis
fubuki,吹雪,snow storm blizzard
tsuuka,通貨,currency
shako,車庫,garage carport depot
suiso,水素,hydrogen
niji,虹,rainbow
keiba,競馬,horse racing
kakudo,角度,angle
teiden,停電,power outage blackout
kougai,公害,pollution contamination
tsuuchi,通知,notice notification report
kegawa,毛皮,fur skin pelt
shougyou,商業,commerce trade business
seitou,政党,political party
ashiato,足跡,footprint footprints record
hyakkajiten,百科事典,encyclopedia
koukyou,公共,public
bokujou,牧場,farm livestock ranch
koushiki,公式,official formal formula
shitai,死体,dead body corpse
sharin,車輪,wheel
jouki,蒸気,steam vapor
kouyou,紅葉,autumn fall colors
ketsueki,血液,blood
shisei,姿勢,posture pose position stance attitude
kanban,看板,sign billboard doorplate
bibiru,ビビる,to feel nervous
chatto,チャット,chat
raibu,ライブ,live
sabusuku,サブスク,subscription
sutekka-,ステッカー,sticker
appude-to,アップデート,update
kidoku,既読,already read
douitashimashite,どういたしまして,you are youre welcome
shinrin,森林,forest woods
shouka,消化,digestion consumption
norikae,乗り換え,transfer change connection
jishaku,磁石,magnet compass
jiin,寺院,buddhist temple church
buntai,文体,literary style
kenbikyou,顕微鏡,microscope
touyou,東洋,the east orient
taki,滝,waterfall rapids
menseki,面積,square measure area size of land
hougen,方言,dialect
denryoku,電力,electrical power
kaoku,家屋,house building
su,酢,vinegar
ketsuatsu,血圧,blood pressure
bikubiku,ビクビク,being afraid of fearful nervous
oyobi,および,and as well as
settei,設定,setting settings options configuration
shusshoushoumeisho,出生証明書,birth certificate
keizoku,継続,continuation going on
chokusen,直線,straight line
kokuseki,国籍,nationality citizenship
hansei,反省,reflection contemplation mediation
kyuuyo,給与,pay salary wages
denki,伝記,biography life story
shougi,将棋,japanese chess
mugen,無限,infinity infinite eternity limitless
housou,包装,packing wrapping
dou,銅,copper cu bronze
funka,噴火,volcanic eruption
choukoku,彫刻,carving engraving sculpture
tekubi,手首,wrist
akegata,明け方,dawn
souko,倉庫,storehouse warehouse
sei,姓,surname family name last name
shokuhinten,食品店,grocery store
shinseijin,申請人,applicant
haiguusha,配偶者,spouse
hikiwake,引き分け,draw tie game
bunpu,分布,distribution allocation
engei,園芸,gardening
gyouretsu,行列,line queue
niru,煮る,to boil simmer stew
denchuu,電柱,power line pole
hyoushi,表紙,cover binding
taiko,太鼓,drum drums
touitsu,統一,unity consolodation uniformity union
kigou,記号,symbol code sign notation
houchou,包丁,kitchen knife
shousha,商社,trading company
wafuku,和服,japanese clothes
temae,手前,before oneself in front of one nearby
gakunen,学年,academic year school
shinya,深夜,late night midnight
chuunen,中年,middle age ages
chibi,ちび,small child pipsqeuak cute version
muchi,鞭,whip lash stick
akubi,あくび,yawn yawning
baka,バカ,idiot moron fool trivial matter stupid
neru,練る,to knead thicken work out
shinan,至難,most difficult next to impossible
shitsuyou,執拗,persistent obstinate tenacious relentless
uzai,ウザイ,annoying noisy
ketsui,決意,decision determination resolution
ikinari,いきなり,abruptly suddenly without warning
anta,あんた,you
unzari,うんざり,tedious boring
hougaku,方角,direction way
noruma,ノルマ,quota assignment
sapuraizu,サプライズ,surprise
adobaisu,アドバイス,advice
sakizu,先ず,first of all firstly
kochirakoso,こちらこそ,it is i who should say
sukuriputo,スクリプト,script
umaku,うまく,skillfully well aptly successfully
denkyuu,電球,light bulb
koten,古典,classic the classics
sansuu,算数,arithmetic calculation
tansui,淡水,fresh water
onshitsu,温室,greenhouse
nousanbutsu,農産物,agricultural produce
henshuu,編集,editing
taisou,体操,gymnastics
oyayubi,親指,thumb big toe
genri,原理,principle theory
heijitsu,平日,weekday ordinary day
kuchibeni,口紅,lipstick
enkai,宴会,party banquet reception feast
kousen,光線,beam light ray
sokutei,測定,measurement
hamigaki,歯磨き,tooth teeth brushing
suibun,水分,water liquid fluid moisture
koushin,更新,update renewal
daunro-do,ダウンロード,download
zeikan,税関,customs
shizenkagaku,自然科学,natural science sciences
mochi,餅,mochi
fukusuu,複数,plural multiple several
bunbougu,文房具,stationary
shitsudo,湿度,humidity
suichoku,垂直,perpendicular vertical
kouryuu,交流,exchange mixing ac alternating current
kakuritsu,確率,probability likelihood chances
denpa,電波,radio wave reception signal
seibetsu,性別,gender sex
haiku,俳句,haiku
baibai,売買,trade buying and selling
masatsu,摩擦,friction rubbing chaffing
koubutsu,鉱物,mineral
denryuu,電流,electric current
toumei,透明,transparent clear
mizugi,水着,bathing suit swimsuit
daimeishi,代名詞,pronoun
gyogyou,漁業,fishing industry fishery
yakusho,役所,government public office
meishi,名刺,business card
toudai,灯台,lighthouse
kamotsu,貨物,cargo freight
senzai,洗剤,detergent cleanser
youchien,幼稚園,kindergarten
kanmuri,冠,cap crown diadem
senro,線路,railway track line rail railroad
kaikan,会館,meeting assembly hall
kansoku,観測,observation survey measurement opinion prediction
haguruma,歯車,gear cog cogwheel
kufuu,工夫,devising contriving figuring out
douwa,童話,childrens story fairy tale
sukiari,隙あり,i got you weak point detected
shikai,司会,leading a meeting presenter chairman host
hantou,半島,peninsula
shinkou,真空,vacuum hollow empty
kanchou,官庁,government office agency
shasetsu,社説,editorial
kiatsu,気圧,atmospheric pressure
hatsuden,発電,generation of power
nouyaku,農薬,pesticide
tenten,転々,moving from place to place passed around repeatedly
ryuuiki,流域,drainage basin
setsuzoku,接続,connection attachment union joint link
meibutsu,名物,famous product specialty
gakubu,学部,department of a university
asshuku,圧縮,compression
gun,郡,district county
juuryoku,重力,gravity gravitation gravitational pull
yuketsu,輸血,blood transfusion
kondate,献立,menu combine dishes for home meal
kougei,工芸,arts craft handicraft
nogasu,逃す,to miss
jichi,自治,self government autonomy
shakaikagaku,社会科学,social science
kawase,為替,money order
hikki,筆記,taking notes writing
sugi,杉,japanese cedar
shihei,紙幣,paper money note bill
hoken,保健,hygiene sanitation
kaisatsu,改札,ticket gate
zukan,図鑑,picture book manual guide
seireki,西暦,common era ad
touge,峠,ridge peak
sakuin,索引,index in a book
kikansha,機関車,locomotive engine
fumikiri,踏切,railway train crossing
aimai,曖昧,vague ambiguous unclear
hashigo,はしご,ladder
tsumekiri,爪切り,nail clipper clippers
juutan,絨毯,carpet rug
amimono,編み物,knitting knitted material crochet
kugi,釘,nail spike pin
yuderu,茹でる,to boil boiling
houtai,包帯,bandage dressing
kitai,気体,gas vapor
kikin,飢饉,famine
renga,煉瓦,brick
chokkaku,直角,right angle perpendicular
sabi,錆,rust
meishin,迷信,superstition
shitsuren,失恋,broken heart unrequited love
machiaishitsu,待合室,waiting room
kushi,櫛,comb
jouhatsu,蒸発,evaporation
mawarimichi,回り道,detour diversion
senpuuki,扇風機,electric fan
tamashii,魂,soul spirit
keiyoushi,形容詞,adjective i adjective
saihou,裁縫,sewing needlework
seihoukei,正方形,square
kuzu,屑,waste scrap garbage piece of trash loser
soba,蕎麦,buckwheat soba noodles
hitosashiyubi,人差し指,index finger second finger toe
fukushi,副詞,adverb
keikoutou,蛍光灯,fluorescent lamp light
jougi,定規,ruler
shoubousho,消防署,fire station
keido,経度,longitude
kakko,括弧,brackets parentheses
jikanwari,時間割,timetable schedule
houki,箒,broom
yajirushi,矢印,arrow direction
kaisuiyoku,海水浴,swimming in the ocean taking a dip
taiseki,体積,capacity volume
zabuton,座布団,zabuton flat floor cushion
furoshiki,風呂敷,wrapping cloth
shouji,障子,shoji paper sliding door
funsui,噴水,water fountain
benjo,便所,toilet lavatory restroom bathroom
fukusha,複写,copying duplication reproduction copy
hadagi,肌着,underwear undergarment lingerie
ontai,温帯,temperate zone
geta,下駄,geta japanese wooden clogs
kusuriyubi,薬指,ring finger fourth
neji,螺子,screw
shugo,主語,subject in grammar
reiten,零点,zero points no marks
chousho,長所,strong point merit virtue advantage
shikke,湿気,moisture humidity dampness
yakunin,役人,government official
sougo,相互,mutual reciprocal
hikkoshi,引っ越し,moving changing residence
kaiyou,海洋,ocean
nobori,上り,ascent climbing upbound
seimon,正門,main gate entrance
kikkake,切っ掛け,the trigger motive impetus
renkou,連合,union alliance combination
shitamachi,下町,low lying part of city town
daishou,大小,size big and small
gomen,ごめん,im sorry my apologies excuse me
ittan,いったん,once for a short time briefly
fumoto,ふもと,foot bottom base
ikebana,生け花,ikebana art of flower arrangement
keiko,稽古,practice training study
sukima,隙間,crevice crack gap opening
tansu,箪笥,chest of drawers cabinet dresser
setomono,瀬戸物,porcelain china pottery
gouryuu,合流,merge junction joining union
kudaru,下る,to descend go come down
mamonaku,間もなく,soon shortly before long
sukunakutomo,少なくとも,at least
osaeru,押さえる,to pin hold press down cover
shiriai,知り合い,acquaintance
socchoku,率直,frank candid straightforward direct
tsutomeru,努める,to endeavor try strive make an effort
awateru,慌てる,to become confused flustered to panic
miru,診る,to examine medically
nantomo,何とも,really very
nantomoienai,何とも言えない,indescribable inexpressible
mare,稀,rare seldom
semaru,迫る,to approach drawn near be imminent
azukaru,預かる,to look after take care of be entrusted with
ukaberu,浮かべる,to float set afloat launch
koutai,交代,alternation change relief shift substitution
kareru,枯れる,to wither die mature
hazureru,外れる,to be disconnected out be removed
torikesu,取り消す,to cancel withdraw retract
miokuru,見送る,to see someone off
tsutawaru,伝わる,to be circulated transmitted handed down
wakareru,分かれる,to branch fork diverge split divide
sessuru,接する,to touch come in contact with be close
kubaru,配る,to distribute hand out deliver
uriage,売り上げ,amount sold sales
zokusuru,属する,to belong to be affiliated with
sakusei,作成,drawing up preparing writing
yobidasu,呼び出す,to summon call convene invoke
tsumu,積む,to pile up stack load
ueru,飢える,to starve be famished hungry
hanashiai,話し合い,discussion talk conference
seishitsu,性質,nature property disposition
kaneru,兼ねる,to be unable to find difficult work two jobs
kaisan,解散,breaking up dispersal dissolution
houshin,方針,policy course plan
tatsu,建つ,to be erected be built
umeru,埋める,to bury fill plug
housoku,法則,law rule
ikiiki,生き生き,in a lively way vividly animatedly actively
hakki,発揮,show of power exhibition manifestation
fusai,夫妻,husband and wife married couple
nyoubou,女房,wife
tetsuzuki,手続き,procedure process
honrai,本来,originally primarily
kokuou,国王,king queen monarch the crown
ichiryuu,一流,first class top grade
kessaku,傑作,masterpiece best work
youji,幼児,young child toddler
dousa,動作,movement action motion gesture
shuukai,集会,meeting assembly gathering
ikou,以降,on and after from since
reigai,例外,exception
zoudai,増大,enlargement increase
kousha,校舎,school building
shinnyuu,侵入,invasion raid incursion
nakayoshi,仲良し,close friend buddy
youryou,要領,point gist
nerai,狙い,aim
fukyuu,普及,diffusion spread
shuuhen,周辺,circumference outskirts
ittei,一定,fixed settled constant
shokki,食器,tableware
bunrui,分類,classification categorization sorting
chiten,地点,site point on a map spot
kousei,公正,justice fairness
koudo,高度,altitude height elevation
tokutei,特定,specific particular special
kaisei,改正,revision amendment alteration
manten,満点,perfect score full marks
kujou,苦情,complaint troubles objection grievance
umaru,詰まる,to be packed with be full blocked
oujo,王女,princess
chousei,調整,adjustment regulation coordination
hyoushiki,標識,sign mark flag
hinode,日の出,sunrise
takameru,高める,to raise lift boost enhance elevate
kizamu,刻む,to mince chop up cut fine shred carve etch
tenkai,展開,development evolution progression
koumoku,項目,item heading category clause
rigai,利害,advantages and disadvantages interests
hanji,判事,judge
jisoku,時速,speed per hour
gakka,学科,study subject department
mimau,見舞う,to ask after to visit
tegoro,手ごろ,handy convenient suitable
sekkin,接近,getting closer drawing nearer approaching
toukei,統計,statistics
kouzou,構造,structure construction makeup
kizukai,小遣い,pocket money allowance
taisaku,対策,measure step strategy countermeasure
kyouyou,教養,cultivation refinement culture education
kuzureru,崩れる,to collapse crumble break down
musuu,無数,innumerable countless numberless
souridaijin,総理大臣,prime minister
mihon,見本,sample speciment model example
oufuku,往復,making a round trip coming and going
goraku,娯楽,amusement entertainment recreation pleasure hobby
hasamu,挟む,to hold between to grip from both sides
dankai,段階,stage step phase
yakusha,役者,actor actress
sunao,素直,obedient meek docile honest frank
juuyaku,重役,director executive top management
manin,満員,full house no vacancy
yakume,役目,duty role function
zunou,頭脳,head brains intellect understanding
jakuten,弱点,weak point weakness shortcoming defect flaw
chijin,知人,friend acquaintance
ouen,応援,aid assistance help support
chousetsu,調節,regulation adjustment control
teishi,停止,stoppage coming to a stop halt standstill
yusou,輸送,transport transportation
hayakuchi,早口,fast talking rapid
sosen,祖先,ancestor
kasho,箇所,place point part sport area counter
seizon,生存,existence being survival
hanayome,花嫁,bride
atatamaru,温まる,to warm onself
katamari,塊,lump mass bundle clump group crowd
kaketsu,可決,approval adoption passage
hiyasu,冷やす,to cool chill refrigerate calm relax
soui,相違,difference discrepancy variation
juwaki,受話器,telephone receiver
yoseru,寄せる,to come bring near let some approach
suitei,推定,presumption assumption estimation
boushi,防止,prevention check
hosu,干す,to air to dry
shoukin,賞金,prize money reward
meguru,巡る,to go around return
himatsubushi,暇つぶし,killing time
koujitsu,口実,excuse pretext
katei,過程,process course mechanism
buhin,部品,parts accessories components
hyoujun,標準,standard level norm
waribiki,割引,discount reduction rebate
outai,応対,dealing with people serving
kaitou,回答,reply answer
kigu,器具,utensil implement tool instrument appliance
shinsei,申請,application request petition
fukuramu,膨らむ,to expand swell out get big
naru,生る,to bear fruit
keishiki,形式,form format style
kakuchou,拡張,expansion extension enlargement
tema,テマ,theme
soshitsu,素質,makings of aptitude talent
kotobazukai,言葉遣い,speech expression wording language
onkei,恩恵,grace favor blessing
chokkei,直径,diameter
tensuu,点数,marks points score grade runs
minaosu,見直す,to look at again reexamine re-examine
yobi,予備,reserve spare
shitei,指定,designation reserved
katsuryoku,活力,vitality energy
demukaeru,出迎える,to meet greet
junsui,純粋,pure true genuine
kankaku,間隔,space interval
tanki,短期,short term short-term
jouge,上下,top and bottom high and low up and down
ichiichi,一々,one by one separately each and every
shinrui,親類,relative relation kin
seinou,性能,ability performance efficiency
ouyou,応用,practical application applied
madoguchi,窓口,counter window
monogataru,物語る,to tell a story give an account
kouhyou,公表,official announcement
tairitsu,対立,confrontation opposition antagonism
rokuon,録音,audio recording
kahansuu,過半数,majority
saiten,採点,marking grading scoring
hissha,筆者,writer author
kezuru,削る,to shave sharpen whittle cut down
eibun,英文,english writing sentence text literature
tsugu,次ぐ,to rank next to to come after
famiresu,ファミレス,family restaurant
nanode,なので,because as since
nandesu,なんです,it is assuredly that can say
janakute,じゃなくて,is not
ebi,海老,prawn shrimp
kanzou,肝臓,liver
kyuuyou,休養,rest relaxation recreation
jitsubutsu,実物,real thing original actual
uketori,受取り,receiving receipt
shoukyokuteki,消極的,negative passive half hearted unmotivated
shukushou,縮小,reduction curtailment cut cutback
chounan,長男,eldest son first born
shouten,商店,shop small store business firm
uraguchi,裏口,backdoor rear entrance exit
hahen,破片,fragment broken piece splinter chip shard
kouseki,功績,achievement deed contribution
massaki,真っ先,the head foremost beginning front
seibi,整備,maintenance servicing
yuuhi,夕日,evening sun setting sun sunset
